player_id,player_name,player_position,team_shortname,top_movement,top_off_ball_runs,top_press,top_movement_build_up,top_movement_create,top_movement_finish,top_movement_direct,top_movement_quick_break,top_movement_transition,top_movement_set_play,top_movement_chaotic,top_off_ball_runs_build_up,top_off_ball_runs_create,top_off_ball_runs_finish,top_off_ball_runs_direct,top_off_ball_runs_quick_break,top_off_ball_runs_transition,top_off_ball_runs_set_play,top_off_ball_runs_chaotic,top_off_ball_runs_behind,top_off_ball_runs_coming_short,top_off_ball_runs_cross_receiver,top_off_ball_runs_dropping_off,top_off_ball_runs_overlap,top_off_ball_runs_pulling_half_space,top_off_ball_runs_pulling_wide,top_off_ball_runs_run_ahead_of_the_ball,top_off_ball_runs_support,top_off_ball_runs_underlap,top_press_pressing,top_press_pressure,top_press_counter_press,top_press_recovery_press,top_press_other,top_movement_winning,top_movement_drawing,top_movement_loosing,top_off_ball_runs_winning,top_off_ball_runs_drawing,top_off_ball_runs_loosing,top_press_winning,top_press_drawing,top_press_loosing,top_movement_left,top_movement_center,top_movement_right,top_movement_middle_third,top_movement_attacking_third,top_movement_penalty,top_off_ball_runs_left,top_off_ball_runs_center,top_off_ball_runs_right,top_off_ball_runs_middle_third,top_off_ball_runs_attacking_third,top_off_ball_runs_penalty,top_movement_jogging,top_movement_running,top_movement_hsr,top_movement_sprinting,top_off_ball_runs_running,top_off_ball_runs_hsr,top_off_ball_runs_sprinting,top_choice,top_choice_attempts,top_choice_winning,top_choice_attempts_winning,top_choice_drawing,top_choice_attempts_drawing,top_choice_loosing,top_choice_attempts_loosing,top_choice_left,top_choice_attempts_left,top_choice_center,top_choice_attempts_center,top_choice_right,top_choice_attempts_right,top_choice_middle_third,top_choice_attempts_middle_third,top_choice_attacking_third,top_choice_attempts_attacking_third,top_choice_penalty,top_choice_attempts_penalty,top_choice_build_up,top_choice_attempts_build_up,top_choice_create,top_choice_attempts_create,top_choice_finish,top_choice_attempts_finish,top_choice_direct,top_choice_attempts_direct,top_choice_quick_break,top_choice_attempts_quick_break,top_choice_transition,top_choice_attempts_transition,top_choice_set_play,top_choice_attempts_set_play,top_choice_chaotic,top_choice_attempts_chaotic,minutes_total,match_played,top_movement_per90,top_off_ball_runs_per90,top_press_per90,top_movement_build_up_per90,top_movement_create_per90,top_movement_finish_per90,top_movement_direct_per90,top_movement_quick_break_per90,top_movement_transition_per90,top_movement_set_play_per90,top_movement_chaotic_per90,top_off_ball_runs_build_up_per90,top_off_ball_runs_create_per90,top_off_ball_runs_finish_per90,top_off_ball_runs_direct_per90,top_off_ball_runs_quick_break_per90,top_off_ball_runs_transition_per90,top_off_ball_runs_set_play_per90,top_off_ball_runs_chaotic_per90,top_off_ball_runs_behind_per90,top_off_ball_runs_coming_short_per90,top_off_ball_runs_cross_receiver_per90,top_off_ball_runs_dropping_off_per90,top_off_ball_runs_overlap_per90,top_off_ball_runs_pulling_half_space_per90,top_off_ball_runs_pulling_wide_per90,top_off_ball_runs_run_ahead_of_the_ball_per90,top_off_ball_runs_support_per90,top_off_ball_runs_underlap_per90,top_press_pressing_per90,top_press_pressure_per90,top_press_counter_press_per90,top_press_recovery_press_per90,top_press_other_per90,top_movement_winning_per90,top_movement_drawing_per90,top_movement_loosing_per90,top_off_ball_runs_winning_per90,top_off_ball_runs_drawing_per90,top_off_ball_runs_loosing_per90,top_press_winning_per90,top_press_drawing_per90,top_press_loosing_per90,top_movement_left_per90,top_movement_center_per90,top_movement_right_per90,top_movement_middle_third_per90,top_movement_attacking_third_per90,top_movement_penalty_per90,top_off_ball_runs_left_per90,top_off_ball_runs_center_per90,top_off_ball_runs_right_per90,top_off_ball_runs_middle_third_per90,top_off_ball_runs_attacking_third_per90,top_off_ball_runs_penalty_per90,top_movement_jogging_per90,top_movement_running_per90,top_movement_hsr_per90,top_movement_sprinting_per90,top_off_ball_runs_running_per90,top_off_ball_runs_hsr_per90,top_off_ball_runs_sprinting_per90
2858,Douglas Costa,CF,Sydney FC,1.82,0.63,1.25,0.03,0.34,0.94,0.06,0.03,0.05,0.08,0.28,0.0,0.04,0.47,0.01,0.0,0.05,0.0,0.06,0.04,0.03,0.01,0.0,0.0,0.01,0.01,0.16,0.31,0.06,0.0,0.5,0.0,0.5,0.25,0.27,0.06,1.5,0.11,0.04,0.48,0.25,0.25,0.75,0.63,0.54,0.66,0.35,1.45,0.13,0.27,0.24,0.12,0.08,0.55,0.09,0.9,0.51,0.16,0.0,0.46,0.17,0.0,0.33,20.0,0.5,2.0,0.0,0.0,0.31,18.0,0.31,6.5,0.56,4.5,0.22,9.0,0.42,9.5,0.27,9.0,1.0,1.0,0.5,1.0,0.4,7.5,0.29,7.0,0.0,0.0,0.0,0.0,0.33,1.5,0.0,1.0,0.25,2.0,107.25,2,1.53,0.53,1.05,0.03,0.29,0.79,0.05,0.03,0.04,0.07,0.23,0.0,0.03,0.39,0.01,0.0,0.04,0.0,0.05,0.03,0.03,0.01,0.0,0.0,0.01,0.01,0.13,0.26,0.05,0.0,0.42,0.0,0.42,0.21,0.23,0.05,1.26,0.09,0.03,0.4,0.21,0.21,0.63,0.53,0.45,0.55,0.29,1.22,0.11,0.23,0.2,0.1,0.07,0.46,0.08,0.76,0.43,0.13,0.0,0.39,0.14,0.0
3443,F. Kurto,GK,Macarthur FC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,14.0,0.0,0.0,0.17,6.0,0.5,8.0,0.4,5.0,0.5,2.0,0.29,7.0,0.56,9.0,0.0,0.0,0.0,0.0,0.14,7.0,0.0,0.0,0.0,0.0,0.57,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.75,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4322,H. Sakai,RB,Auckland FC,1.09,0.53,15.25,0.01,0.23,0.56,0.01,0.12,0.01,0.05,0.1,0.0,0.15,0.27,0.01,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.02,0.24,0.1,0.04,0.0,3.75,0.0,5.25,6.25,0.41,0.32,0.35,0.23,0.13,0.18,6.25,3.5,5.5,0.24,0.16,0.7,0.34,0.72,0.06,0.14,0.08,0.31,0.15,0.38,0.07,0.49,0.23,0.18,0.05,0.26,0.2,0.04,0.26,32.0,0.36,8.33,0.28,13.0,0.16,10.67,0.25,4.0,0.42,8.0,0.2,20.0,0.23,16.33,0.37,11.0,0.62,2.67,0.0,2.0,0.24,15.0,0.31,9.67,1.0,0.67,0.0,0.0,0.0,0.33,0.0,0.67,0.27,3.67,298.1,3,0.33,0.16,4.6,0.0,0.07,0.17,0.0,0.04,0.0,0.02,0.03,0.0,0.05,0.08,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.01,0.07,0.03,0.01,0.0,1.13,0.0,1.59,1.89,0.12,0.1,0.11,0.07,0.04,0.05,1.89,1.06,1.66,0.07,0.05,0.21,0.1,0.22,0.02,0.04,0.02,0.09,0.05,0.11,0.02,0.15,0.07,0.05,0.02,0.08,0.06,0.01
5805,K. Boli,CB,Macarthur FC,0.05,0.0,0.0,0.0,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,-0.25,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.25,-0.25,0.02,0.02,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.2,30.0,0.0,0.0,0.18,11.0,0.21,19.0,0.36,11.0,0.0,8.0,0.18,11.0,0.18,22.0,0.0,0.0,0.0,0.0,0.38,8.0,0.18,17.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,98.75,1,0.05,0.0,0.0,0.0,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,-0.23,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.23,-0.23,0.02,0.02,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0
6871,M. Jakoliš,CF,Macarthur FC,1.06,0.41,1.0,0.04,0.44,0.22,0.01,0.25,0.06,0.01,0.03,0.01,0.09,0.04,0.0,0.25,0.0,0.01,0.0,0.0,0.01,0.16,0.02,0.0,0.01,0.01,0.1,0.1,0.0,0.0,0.25,0.0,0.5,0.25,0.0,0.2,0.86,0.0,0.14,0.27,0.0,0.25,0.75,0.61,0.45,0.0,0.38,0.68,0.22,0.12,0.28,0.01,0.08,0.33,0.2,0.49,0.09,0.28,0.0,0.29,0.12,0.0,0.41,17.0,0.0,0.0,0.4,5.0,0.42,12.0,0.36,14.0,0.5,2.0,1.0,1.0,0.22,9.0,0.62,8.0,1.0,1.0,0.0,0.0,0.36,11.0,0.6,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,98.75,1,0.97,0.37,0.91,0.04,0.4,0.2,0.01,0.23,0.05,0.01,0.03,0.01,0.08,0.04,0.0,0.23,0.0,0.01,0.0,0.0,0.01,0.15,0.02,0.0,0.01,0.01,0.09,0.09,0.0,0.0,0.23,0.0,0.46,0.23,0.0,0.18,0.78,0.0,0.13,0.25,0.0,0.23,0.68,0.56,0.41,0.0,0.35,0.62,0.2,0.11,0.26,0.01,0.07,0.3,0.18,0.45,0.08,0.26,0.0,0.26,0.11,0.0
7698,M. Langerak,GK,Melbourne V FC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,5.0,0.2,5.0,0.0,0.0,0.0,0.0,0.5,2.0,0.0,2.0,0.0,1.0,0.25,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,98.82,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9520,S. Souprayen,LCB,Melbourne City,0.65,0.12,2.0,0.0,0.12,0.29,0.0,0.0,0.0,0.2,0.02,0.0,0.0,0.01,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.07,0.01,0.0,0.0,0.02,0.02,0.0,0.0,0.25,0.5,0.0,1.0,0.25,0.25,0.39,0.0,0.09,0.03,0.0,1.25,0.75,0.0,0.34,0.3,0.01,0.2,0.43,0.24,0.04,0.07,0.01,0.02,0.1,0.1,0.55,0.03,0.0,0.0,0.12,0.0,0.0,0.26,69.5,0.28,20.0,0.26,49.5,0.0,0.0,0.26,37.0,0.29,25.5,0.21,7.0,0.32,52.0,0.1,5.0,0.0,0.5,0.32,11.0,0.29,50.0,0.07,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,197.47,2,0.3,0.05,0.91,0.0,0.05,0.13,0.0,0.0,0.0,0.09,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.11,0.23,0.0,0.46,0.11,0.11,0.18,0.0,0.04,0.01,0.0,0.57,0.34,0.0,0.15,0.14,0.0,0.09,0.2,0.11,0.02,0.03,0.0,0.01,0.05,0.05,0.25,0.01,0.0,0.0,0.05,0.0,0.0
11117,Z. Machach,AM,Melbourne V FC,3.37,1.43,1.0,0.02,0.33,2.08,0.05,0.02,0.32,0.27,0.29,0.0,0.09,1.0,0.02,0.0,0.19,0.04,0.1,0.0,0.03,0.4,0.0,0.0,0.01,0.01,0.42,0.46,0.11,0.0,-0.25,0.0,1.0,0.25,0.48,2.58,0.31,0.14,1.27,0.03,0.25,0.75,0.0,1.22,1.56,0.59,0.48,2.88,1.16,0.38,0.84,0.21,0.08,1.35,0.63,2.2,0.41,0.21,0.21,0.63,0.51,0.28,0.23,32.5,0.36,7.0,0.17,20.5,0.3,5.0,0.26,15.5,0.21,7.0,0.2,10.0,0.28,9.0,0.22,22.5,1.0,1.5,0.0,1.0,0.18,5.5,0.22,18.0,1.0,0.5,0.33,1.5,0.17,3.0,0.0,0.5,0.4,2.5,183.18,2,1.66,0.7,0.49,0.01,0.16,1.02,0.02,0.01,0.16,0.13,0.14,0.0,0.04,0.49,0.01,0.0,0.09,0.02,0.05,0.0,0.01,0.2,0.0,0.0,0.0,0.0,0.21,0.23,0.05,0.0,-0.12,0.0,0.49,0.12,0.24,1.27,0.15,0.07,0.62,0.01,0.12,0.37,0.0,0.6,0.77,0.29,0.24,1.42,0.57,0.19,0.41,0.1,0.04,0.66,0.31,1.08,0.2,0.1,0.1,0.31,0.25,0.14
11885,D. Arzani,RW,Melbourne V FC,2.97,1.85,1.75,0.03,0.46,1.66,0.02,0.15,0.36,0.11,0.17,0.0,0.29,1.05,0.0,0.11,0.27,0.05,0.06,0.11,0.01,0.54,0.01,0.07,0.02,0.03,0.57,0.45,0.03,0.0,0.5,0.0,1.25,0.0,0.63,2.31,0.03,0.43,1.4,0.02,0.5,1.25,0.0,0.66,1.63,0.68,0.4,2.56,0.62,0.24,1.1,0.51,0.11,1.73,0.7,1.09,0.52,0.81,0.24,0.64,0.97,0.24,0.31,25.5,0.36,5.5,0.33,18.5,0.0,1.5,0.23,6.5,0.43,7.0,0.29,12.0,0.37,8.0,0.3,16.5,0.5,4.0,0.0,0.5,0.44,4.5,0.35,14.5,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.4,2.5,138.28,2,1.93,1.2,1.14,0.02,0.3,1.08,0.01,0.1,0.23,0.07,0.11,0.0,0.19,0.68,0.0,0.07,0.18,0.03,0.04,0.07,0.01,0.35,0.01,0.05,0.01,0.02,0.37,0.29,0.02,0.0,0.33,0.0,0.81,0.0,0.41,1.5,0.02,0.28,0.91,0.01,0.33,0.81,0.0,0.43,1.06,0.44,0.26,1.67,0.4,0.16,0.72,0.33,0.07,1.13,0.46,0.71,0.34,0.53,0.16,0.42,0.63,0.16
11891,A. Behich,LB,Melbourne City,1.07,0.3,2.0,0.02,0.2,0.77,0.0,0.01,0.01,0.02,0.03,0.0,0.04,0.25,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.02,0.0,0.0,0.14,0.04,0.08,0.0,0.75,0.0,1.0,0.25,0.48,0.6,0.0,0.08,0.22,0.0,1.25,0.75,0.0,0.94,0.12,0.01,0.31,0.75,0.16,0.3,0.0,0.0,0.04,0.24,0.11,0.6,0.13,0.1,0.01,0.27,0.03,0.0,0.27,53.0,0.38,22.5,0.2,30.5,0.0,0.0,0.28,35.5,0.27,13.0,0.22,4.5,0.27,28.0,0.32,15.5,0.38,4.0,0.14,3.5,0.27,26.5,0.26,17.0,0.33,1.5,0.0,0.0,0.0,0.0,0.8,2.5,0.0,1.5,197.47,2,0.49,0.14,0.91,0.01,0.09,0.35,0.0,0.0,0.0,0.01,0.01,0.0,0.02,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.06,0.02,0.04,0.0,0.34,0.0,0.46,0.11,0.22,0.27,0.0,0.04,0.1,0.0,0.57,0.34,0.0,0.43,0.05,0.0,0.14,0.34,0.07,0.14,0.0,0.0,0.02,0.11,0.05,0.27,0.06,0.05,0.0,0.12,0.01,0.0
11897,J. Risdon,RB,Perth Glory,0.26,0.11,4.5,0.0,0.06,0.15,0.0,0.0,0.03,0.0,0.02,0.0,0.03,0.06,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.03,0.01,0.0,0.0,3.25,0.0,0.75,0.5,0.01,0.25,0.0,0.0,0.11,0.0,1.75,2.75,0.0,0.0,0.03,0.23,0.1,0.15,0.0,0.0,0.0,0.11,0.03,0.08,0.06,0.13,0.06,0.0,0.03,0.06,0.0,0.03,0.28,29.0,0.25,4.0,0.28,25.0,0.0,0.0,0.67,3.0,0.1,10.0,0.31,16.0,0.25,20.0,0.5,6.0,0.5,2.0,0.0,3.0,0.23,13.0,0.29,7.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,4.0,102.13,1,0.23,0.1,3.97,0.0,0.05,0.13,0.0,0.0,0.03,0.0,0.02,0.0,0.03,0.05,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.03,0.01,0.0,0.0,2.86,0.0,0.66,0.44,0.01,0.22,0.0,0.0,0.1,0.0,1.54,2.42,0.0,0.0,0.03,0.2,0.09,0.13,0.0,0.0,0.0,0.1,0.03,0.07,0.05,0.11,0.05,0.0,0.03,0.05,0.0,0.03
14736,L. Verstraete,DM,Auckland FC,0.87,0.18,1.75,0.0,0.11,0.39,0.0,0.0,0.03,0.32,0.01,0.0,0.03,0.1,0.0,0.0,0.03,0.02,0.0,0.0,0.01,0.04,0.01,0.0,0.0,0.0,0.02,0.04,0.06,0.25,0.25,0.0,0.75,0.5,0.02,0.85,0.0,0.0,0.18,0.0,0.0,1.75,0.0,0.09,0.56,0.22,0.19,0.67,0.29,0.03,0.08,0.07,0.06,0.11,0.03,0.6,0.04,0.07,0.0,0.11,0.07,0.0,0.14,36.0,0.0,1.0,0.14,35.0,0.0,0.0,0.25,8.0,0.33,6.0,0.05,22.0,0.14,14.0,0.06,17.0,0.0,0.0,0.0,3.0,0.27,11.0,0.12,17.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,98.4,1,0.8,0.16,1.6,0.0,0.1,0.36,0.0,0.0,0.03,0.29,0.01,0.0,0.03,0.09,0.0,0.0,0.03,0.02,0.0,0.0,0.01,0.04,0.01,0.0,0.0,0.0,0.02,0.04,0.05,0.23,0.23,0.0,0.69,0.46,0.02,0.78,0.0,0.0,0.16,0.0,0.0,1.6,0.0,0.08,0.51,0.2,0.17,0.61,0.27,0.03,0.07,0.06,0.05,0.1,0.03,0.55,0.04,0.06,0.0,0.1,0.06,0.0
14736,L. Verstraete,RM,Auckland FC,1.34,0.24,18.0,0.01,0.25,0.59,0.0,0.03,0.08,0.19,0.19,0.0,0.07,0.1,0.0,0.0,0.02,0.0,0.04,0.07,0.05,0.0,0.0,0.0,0.0,0.0,0.04,0.08,0.0,0.0,5.25,0.25,9.0,3.5,0.21,0.62,0.51,0.06,0.04,0.14,6.25,7.75,4.0,0.29,0.54,0.51,0.45,0.87,0.32,0.0,0.1,0.14,0.1,0.14,0.07,0.95,0.17,0.03,0.0,0.14,0.1,0.0,0.21,25.0,0.5,3.33,0.16,10.33,0.18,11.33,0.25,6.67,0.25,5.33,0.18,13.0,0.22,16.33,0.18,5.67,0.0,0.67,0.25,1.33,0.18,11.0,0.18,5.67,1.0,0.33,0.0,0.33,0.43,2.33,0.0,0.0,0.18,3.67,218.93,3,0.55,0.1,7.4,0.0,0.1,0.24,0.0,0.01,0.03,0.08,0.08,0.0,0.03,0.04,0.0,0.0,0.01,0.0,0.02,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.0,0.0,2.16,0.1,3.7,1.44,0.09,0.25,0.21,0.02,0.02,0.06,2.57,3.19,1.64,0.12,0.22,0.21,0.18,0.36,0.13,0.0,0.04,0.06,0.04,0.06,0.03,0.39,0.07,0.01,0.0,0.06,0.04,0.0
18573,J. Lolley,RW,Sydney FC,2.4,0.95,1.25,0.05,0.28,1.82,0.0,0.1,0.06,0.04,0.04,0.03,0.1,0.66,0.0,0.09,0.06,0.0,0.02,0.23,0.0,0.13,0.0,0.0,0.0,0.0,0.49,0.1,0.0,0.0,0.0,0.0,1.25,0.0,1.12,1.28,0.0,0.54,0.41,0.0,1.25,0.0,0.0,0.05,1.15,1.2,0.28,2.11,1.32,0.02,0.42,0.51,0.05,0.9,0.5,1.58,0.53,0.2,0.02,0.57,0.31,0.05,0.52,23.0,0.36,14.0,0.78,9.0,0.0,0.0,0.0,1.0,0.5,12.0,0.6,10.0,0.0,8.0,0.8,15.0,0.8,5.0,1.0,1.0,0.2,5.0,0.57,14.0,0.0,0.0,0.0,0.0,0.5,2.0,0.0,0.0,1.0,1.0,96.0,1,2.25,0.89,1.17,0.05,0.26,1.71,0.0,0.09,0.06,0.04,0.04,0.03,0.09,0.62,0.0,0.08,0.06,0.0,0.02,0.22,0.0,0.12,0.0,0.0,0.0,0.0,0.46,0.09,0.0,0.0,0.0,0.0,1.17,0.0,1.05,1.2,0.0,0.51,0.38,0.0,1.17,0.0,0.0,0.05,1.08,1.12,0.26,1.98,1.24,0.02,0.39,0.48,0.05,0.84,0.47,1.48,0.5,0.19,0.02,0.53,0.29,0.05
23418,F. Gallegos,AM,Auckland FC,1.1,0.57,3.0,0.01,0.11,0.79,0.0,0.02,0.04,0.1,0.03,0.0,0.06,0.41,0.0,0.02,0.03,0.05,0.0,0.05,0.05,0.0,0.04,0.04,0.0,0.0,0.17,0.1,0.11,0.0,0.0,0.25,2.75,0.0,0.04,1.06,0.0,0.03,0.54,0.0,1.0,2.0,0.0,0.85,0.16,0.09,0.23,0.86,0.07,0.51,0.03,0.03,0.08,0.48,0.06,0.64,0.19,0.19,0.0,0.42,0.15,0.0,0.26,42.0,0.0,2.0,0.28,40.0,0.0,0.0,0.27,22.0,0.36,14.0,0.0,6.0,0.06,17.0,0.43,23.0,0.5,8.0,0.0,2.0,0.18,11.0,0.35,17.0,0.0,0.0,0.0,2.0,0.0,1.0,0.43,7.0,0.0,2.0,98.4,1,1.01,0.52,2.74,0.01,0.1,0.72,0.0,0.02,0.04,0.09,0.03,0.0,0.05,0.37,0.0,0.02,0.03,0.05,0.0,0.05,0.05,0.0,0.04,0.04,0.0,0.0,0.16,0.09,0.1,0.0,0.0,0.23,2.52,0.0,0.04,0.97,0.0,0.03,0.49,0.0,0.91,1.83,0.0,0.78,0.15,0.08,0.21,0.79,0.06,0.47,0.03,0.03,0.07,0.44,0.05,0.59,0.17,0.17,0.0,0.38,0.14,0.0
23418,F. Gallegos,LM,Auckland FC,1.99,0.94,9.25,0.01,0.35,1.16,0.01,0.05,0.2,0.08,0.11,0.0,0.18,0.57,0.0,0.0,0.15,0.02,0.0,0.03,0.02,0.08,0.03,0.15,0.0,0.0,0.25,0.34,0.04,0.0,0.75,0.25,5.25,3.0,1.22,0.59,0.17,0.67,0.18,0.08,1.5,7.0,0.75,1.32,0.38,0.29,0.65,1.29,0.15,0.68,0.16,0.1,0.22,0.69,0.25,1.04,0.4,0.31,0.07,0.56,0.35,0.02,0.22,28.0,0.17,14.33,0.32,10.67,0.22,3.0,0.23,13.33,0.4,6.67,0.08,8.0,0.2,13.67,0.34,10.0,0.2,1.67,0.0,1.0,0.29,9.33,0.19,10.33,1.0,0.33,0.5,0.67,0.28,2.33,0.0,0.33,0.09,3.67,229.72,3,0.78,0.37,3.62,0.0,0.14,0.45,0.0,0.02,0.08,0.03,0.04,0.0,0.07,0.22,0.0,0.0,0.06,0.01,0.0,0.01,0.01,0.03,0.01,0.06,0.0,0.0,0.1,0.13,0.02,0.0,0.29,0.1,2.06,1.18,0.48,0.23,0.07,0.26,0.07,0.03,0.59,2.74,0.29,0.52,0.15,0.11,0.25,0.51,0.06,0.27,0.06,0.04,0.09,0.27,0.1,0.41,0.16,0.12,0.03,0.22,0.14,0.01
23883,J. Donachie,RCB,Western United,0.31,0.18,2.75,0.01,0.03,0.18,0.0,0.01,0.0,0.08,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.75,0.0,-0.25,2.25,0.3,0.01,0.0,0.18,0.0,0.0,2.5,0.25,0.0,0.01,0.08,0.23,0.05,0.24,0.08,0.0,0.0,0.18,0.0,0.17,0.17,0.1,0.02,0.0,0.17,0.0,0.17,0.0,0.25,28.5,0.28,22.0,0.16,6.5,0.0,0.0,0.14,7.0,0.5,7.0,0.17,14.5,0.33,18.0,0.0,0.5,0.0,0.0,0.11,9.0,0.3,13.0,0.0,1.0,0.6,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.5,194.48,2,0.14,0.08,1.27,0.0,0.01,0.08,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.35,0.0,-0.12,1.04,0.14,0.0,0.0,0.08,0.0,0.0,1.16,0.12,0.0,0.0,0.04,0.11,0.02,0.11,0.04,0.0,0.0,0.08,0.0,0.08,0.08,0.05,0.01,0.0,0.08,0.0,0.08,0.0
23909,K. Barbarouses,CF,Wellington P FC,2.1,1.02,1.0,0.07,0.24,1.02,0.17,0.14,0.21,0.13,0.12,0.01,0.11,0.6,0.05,0.07,0.09,0.03,0.04,0.28,0.0,0.63,0.0,0.0,0.0,0.0,0.07,0.03,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.35,1.75,0.0,0.18,0.84,0.0,0.75,0.25,0.37,1.33,0.41,0.34,1.75,0.91,0.12,0.72,0.18,0.08,0.94,0.63,0.87,0.1,0.37,0.23,0.34,0.45,0.23,0.31,13.0,0.0,0.0,0.25,4.0,0.33,9.0,0.43,7.0,0.0,1.0,0.2,5.0,0.25,4.0,0.0,4.0,0.0,2.0,0.5,2.0,0.25,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5,4.0,98.82,1,1.91,0.93,0.91,0.06,0.22,0.93,0.15,0.13,0.19,0.12,0.11,0.01,0.1,0.55,0.05,0.06,0.08,0.03,0.04,0.26,0.0,0.57,0.0,0.0,0.0,0.0,0.06,0.03,0.0,0.0,0.0,0.0,0.91,0.0,0.0,0.32,1.59,0.0,0.16,0.77,0.0,0.68,0.23,0.34,1.21,0.37,0.31,1.59,0.83,0.11,0.66,0.16,0.07,0.86,0.57,0.79,0.09,0.34,0.21,0.31,0.41,0.21
